** CONVERTED FROM C:\Users\arezoo\Documents\MATLAB\Projects\SceneConstruction_RDP_Psychophysics\SceneConstructionProper\Data\SubjectsData\110\110_Block_1_toTrial3.edf using edfapi 3.1 Win32 Apr 29 2011 on Wed Jul 03 16:46:05 2019
** DATE: Wed Jul  3 17:53:38 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AC7
** SERIAL NUMBER: CLG-BBE31
** CAMERA_CONFIG: BBE31200.SCD
** Heins_SC
**

MSG	5407513 RECCFG CR 1000 1 1 R
MSG	5407513 ELCLCFG MTABLER
MSG	5407513 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	5407513 THRESHOLDS R 87 217
MSG	5407513 ELCL_WINDOW_SIZES 176 188 0 0
MSG	5407513 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	5407513 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5407513 ELCL_PROC ELLIPSE  (5)
MSG	5407513 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	5407514 !MODE RECORD CR 1000 1 1 R
START	5407515 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	5407515	127
5407981	  948.8	  470.7	 7505.0	...
5407982	  948.8	  470.7	 7494.0	...
5407983	  948.9	  469.4	 7495.0	...
5407984	  947.8	  469.4	 7495.0	...
5407985	  947.5	  469.4	 7500.0	...
5407986	  947.5	  469.9	 7503.0	...
5407987	  947.9	  472.3	 7503.0	...
5407988	  948.3	  472.1	 7493.0	...
5407989	  948.9	  472.2	 7493.0	...
5407990	  948.8	  472.2	 7492.0	...
5407991	  948.8	  472.2	 7492.0	...
5407992	  949.1	  470.8	 7492.0	...
5407993	  949.3	  470.8	 7500.0	...
5407994	  949.1	  473.4	 7500.0	...
5407995	  949.1	  473.4	 7487.0	...
5407996	  949.7	  473.5	 7487.0	...
5407997	  950.2	  470.5	 7487.0	...
5407998	  950.2	  470.5	 7487.0	...
5407999	  950.6	  471.4	 7487.0	...
5408000	  950.6	  471.4	 7488.0	...
5408001	  950.6	  471.4	 7488.0	...
5408002	  950.7	  470.1	 7488.0	...
5408003	  949.5	  470.0	 7488.0	...
5408004	  949.3	  472.5	 7483.0	...
5408005	  948.6	  472.7	 7483.0	...
5408006	  948.6	  472.9	 7489.0	...
5408007	  950.8	  476.0	 7493.0	...
5408008	  950.7	  476.4	 7493.0	...
5408009	  950.1	  474.3	 7482.0	...
5408010	  949.2	  472.2	 7482.0	...
5408011	  949.4	  472.2	 7479.0	...
5408012	  949.4	  472.2	 7479.0	...
5408013	  949.3	  473.7	 7479.0	...
5408014	  950.0	  473.6	 7478.0	...
5408015	  950.0	  473.6	 7478.0	...
5408016	  950.0	  473.6	 7478.0	...
5408017	  951.5	  475.4	 7478.0	...
5408018	  951.4	  477.2	 7478.0	...
5408019	  951.2	  477.2	 7484.0	...
5408020	  951.2	  476.5	 7484.0	...
5408021	  950.4	  475.7	 7484.0	...
5408022	  950.6	  474.1	 7486.0	...
5408023	  950.6	  474.1	 7486.0	...
5408024	  950.6	  477.8	 7467.0	...
5408025	  950.7	  478.5	 7467.0	...
5408026	  950.5	  478.5	 7467.0	...
5408027	  950.9	  474.2	 7477.0	...
5408028	  953.2	  474.3	 7477.0	...
5408029	  952.9	  477.6	 7472.0	...
5408030	  951.2	  477.5	 7472.0	...
5408031	  951.1	  478.2	 7471.0	...
5408032	  951.0	  479.0	 7459.0	...
5408033	  951.1	  479.2	 7459.0	...
5408034	  951.1	  479.2	 7461.0	...
5408035	  951.3	  476.9	 7461.0	...
5408036	  950.9	  473.5	 7461.0	...
5408037	  951.2	  473.5	 7461.0	...
