** CONVERTED FROM C:\Users\arezoo\Documents\MATLAB\Projects\SceneConstruction_RDP_Psychophysics\MotionDiscrim\Data\SubjectsData\111\111_Block_1_toTrial7.edf using edfapi 3.1 Win32 Apr 29 2011 on Wed Jul 03 15:28:17 2019
** DATE: Wed Jul  3 16:33:18 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AC7
** SERIAL NUMBER: CLG-BBE31
** CAMERA_CONFIG: BBE31200.SCD
** Heins_SC
**

MSG	587276 RECCFG CR 1000 1 1 R
MSG	587276 ELCLCFG MTABLER
MSG	587276 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	587276 THRESHOLDS R 83 220
MSG	587276 ELCL_WINDOW_SIZES 176 188 0 0
MSG	587276 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	587276 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	587276 ELCL_PROC ELLIPSE  (5)
MSG	587276 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	587277 !MODE RECORD CR 1000 1 1 R
START	587278 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	587278	127
587473	  967.7	  519.6	 6450.0	...
587474	  967.7	  519.6	 6450.0	...
587475	  966.8	  520.2	 6452.0	...
587476	  966.1	  520.2	 6452.0	...
587477	  966.9	  520.3	 6436.0	...
587478	  967.7	  520.3	 6436.0	...
587479	  967.5	  520.8	 6439.0	...
587480	  968.0	  520.7	 6438.0	...
587481	  968.0	  520.7	 6438.0	...
587482	  967.5	  520.8	 6442.0	...
587483	  966.5	  520.8	 6443.0	...
587484	  966.0	  520.9	 6443.0	...
587485	  966.0	  520.9	 6442.0	...
587486	  966.6	  518.9	 6442.0	...
587487	  966.1	  521.0	 6438.0	...
587488	  966.1	  521.0	 6438.0	...
587489	  964.9	  521.0	 6446.0	...
587490	  964.1	  523.7	 6446.0	...
587491	  966.2	  522.4	 6446.0	...
587492	  966.2	  522.1	 6448.0	...
587493	  966.0	  522.1	 6448.0	...
587494	  966.0	  522.8	 6448.0	...
587495	  966.1	  523.4	 6448.0	...
587496	  965.8	  524.3	 6452.0	...
587497	  965.8	  524.3	 6456.0	...
587498	  965.8	  524.3	 6456.0	...
587499	  965.6	  525.4	 6454.0	...
587500	  966.0	  525.4	 6453.0	...
587501	  966.0	  525.4	 6449.0	...
587502	  966.1	  525.4	 6449.0	...
587503	  966.1	  525.4	 6448.0	...
587504	  966.3	  524.5	 6448.0	...
587505	  966.4	  524.4	 6450.0	...
587506	  967.2	  524.4	 6450.0	...
587507	  966.1	  527.1	 6445.0	...
587508	  966.2	  526.8	 6445.0	...
587509	  966.4	  526.8	 6440.0	...
587510	  966.5	  527.3	 6436.0	...
587511	  965.9	  527.9	 6434.0	...
587512	  965.5	  528.4	 6434.0	...
587513	  965.5	  528.5	 6434.0	...
587514	  965.5	  528.5	 6445.0	...
587515	  966.9	  526.8	 6451.0	...
587516	  967.3	  526.8	 6456.0	...
587517	  967.5	  526.8	 6456.0	...
587518	  968.1	  526.8	 6447.0	...
587519	  968.0	  527.2	 6447.0	...
587520	  967.4	  529.3	 6447.0	...
587521	  967.7	  529.3	 6443.0	...
587522	  967.8	  528.8	 6443.0	...
587523	  968.9	  527.5	 6444.0	...
587524	  969.0	  527.1	 6446.0	...
587525	  968.3	  527.0	 6448.0	...
587526	  968.3	  527.0	 6454.0	...
587527	  968.7	  528.4	 6454.0	...
587528	  968.6	  528.4	 6456.0	...
587529	  968.3	  529.1	 6456.0	...
587530	  968.4	  528.8	 6452.0	...
587531	  968.7	  528.4	 6453.0	...
587532	  968.7	  529.0	 6454.0	...
587533	  968.7	  529.0	 6454.0	...
587534	  969.0	  527.8	 6452.0	...
587535	  968.9	  527.8	 6449.0	...
587536	  968.9	  527.8	 6448.0	...
