** CONVERTED FROM W:\#Common\4Conor\SceneConstruction_data\SC\991546040\991546040_Block_1_toTrial5.edf using edfapi 3.1 Win32 Apr 29 2011 on Sat Jul 06 17:09:00 2019
** DATE: Thu Jul  4 04:01:38 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDE33
** CAMERA_CONFIG: BDE33200.SCD
** Heins_SC
**

MSG	4155054 RECCFG CR 1000 1 1 R
MSG	4155054 ELCLCFG MTABLER
MSG	4155054 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	4155054 THRESHOLDS R 101 230
MSG	4155054 ELCL_WINDOW_SIZES 176 188 0 0
MSG	4155054 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	4155054 ELCL_PROC ELLIPSE  (5)
MSG	4155054 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4155055 !MODE RECORD CR 1000 1 1 R
START	4155056 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	4155056	127
4155259	  926.3	  513.4	 5506.0	...
4155260	  926.7	  513.4	 5506.0	...
4155261	  927.2	  513.2	 5502.0	...
4155262	  927.2	  513.2	 5502.0	...
4155263	  926.3	  514.9	 5502.0	...
4155264	  926.3	  514.9	 5502.0	...
4155265	  926.4	  515.0	 5503.0	...
4155266	  927.3	  514.9	 5503.0	...
4155267	  927.3	  514.2	 5502.0	...
4155268	  927.3	  514.2	 5502.0	...
4155269	  927.5	  515.1	 5505.0	...
4155270	  927.6	  515.7	 5505.0	...
4155271	  927.6	  516.7	 5505.0	...
4155272	  926.7	  516.7	 5505.0	...
4155273	  926.6	  515.1	 5505.0	...
4155274	  926.9	  513.4	 5503.0	...
4155275	  927.9	  513.3	 5503.0	...
4155276	  928.3	  514.0	 5498.0	...
4155277	  928.3	  514.7	 5498.0	...
4155278	  928.3	  515.3	 5502.0	...
4155279	  928.3	  515.3	 5504.0	...
4155280	  929.4	  515.3	 5504.0	...
4155281	  930.2	  515.7	 5504.0	...
4155282	  930.2	  515.7	 5502.0	...
4155283	  930.2	  515.6	 5502.0	...
4155284	  930.0	  515.5	 5502.0	...
4155285	  930.0	  515.5	 5502.0	...
4155286	  930.0	  516.0	 5502.0	...
4155287	  928.0	  516.5	 5502.0	...
4155288	  927.8	  516.8	 5503.0	...
4155289	  927.8	  516.8	 5504.0	...
4155290	  927.7	  516.8	 5504.0	...
4155291	  927.7	  517.2	 5501.0	...
